date,country,continent,flights,new_cases,stringency_index
2020-01-01,United Arab Emirates,AS,672,,0.0
2020-01-01,Austria,EU,297,,0.0
2020-01-01,Bangladesh,AS,9,,0.0
2020-01-01,Belgium,EU,259,,0.0
2020-01-01,Bulgaria,EU,4,,0.0
2020-01-01,Bahrain,AS,115,,0.0
2020-01-01,Brunei,AS,26,,0.0
2020-01-01,Belarus,EU,50,,0.0
2020-01-01,Switzerland,EU,523,,0.0
2020-01-01,China,AS,370,,0.0
2020-01-01,Czechia,EU,134,,0.0
2020-01-01,Germany,EU,1430,,0.0
2020-01-01,Denmark,EU,242,,0.0
2020-01-01,Estonia,EU,30,,0.0
2020-01-01,Spain,EU,1053,,0.0
2020-01-01,Finland,EU,217,,0.0
2020-01-01,France,EU,1109,,0.0
2020-01-01,United Kingdom,EU,1866,,0.0
2020-01-01,Greece,EU,134,,0.0
2020-01-01,Hong Kong,AS,502,,13.89
2020-01-01,Croatia,EU,30,,0.0
2020-01-01,Hungary,EU,127,,0.0
2020-01-01,Indonesia,AS,36,,0.0
2020-01-01,Ireland,EU,287,,0.0
2020-01-01,Israel,AS,150,,0.0
2020-01-01,India,AS,1727,,0.0
2020-01-01,Iran,AS,11,,0.0
2020-01-01,Iceland,EU,42,,0.0
2020-01-01,Italy,EU,1134,,0.0
2020-01-01,Japan,AS,930,,0.0
2020-01-01,South Korea,AS,660,,0.0
2020-01-01,Kazakhstan,AS,46,,0.0
2020-01-01,Lebanon,AS,51,,0.0
2020-01-01,Sri Lanka,AS,76,,0.0
2020-01-01,Lithuania,EU,11,,0.0
2020-01-01,Luxembourg,EU,59,,0.0
2020-01-01,Latvia,EU,99,,0.0
2020-01-01,Malta,EU,46,,0.0
2020-01-01,Malaysia,AS,731,,0.0
2020-01-01,Netherlands,EU,511,,0.0
2020-01-01,Norway,EU,311,,0.0
2020-01-01,Philippines,AS,380,,0.0
2020-01-01,Pakistan,AS,9,,0.0
2020-01-01,Poland,EU,343,,0.0
2020-01-01,Portugal,EU,341,,0.0
2020-01-01,Qatar,AS,324,,0.0
2020-01-01,Romania,EU,30,,0.0
2020-01-01,Serbia,EU,49,,0.0
2020-01-01,Russia,EU,946,,0.0
2020-01-01,Saudi Arabia,AS,281,,0.0
2020-01-01,Sweden,EU,291,,0.0
2020-01-01,Singapore,AS,479,,0.0
2020-01-01,Slovenia,EU,12,,0.0
2020-01-01,Slovakia,EU,15,,0.0
2020-01-01,Thailand,AS,709,,0.0
2020-01-01,Turkey,AS,401,,0.0
2020-01-01,Taiwan,AS,542,,2.78
2020-01-01,Ukraine,EU,105,,0.0
2020-01-01,Vietnam,AS,22,,0.0
2020-01-02,United Arab Emirates,AS,645,,0.0
2020-01-02,Austria,EU,370,,0.0
2020-01-02,Bangladesh,AS,9,,0.0
2020-01-02,Belgium,EU,329,,0.0
2020-01-02,Bulgaria,EU,5,,0.0
2020-01-02,Bahrain,AS,112,,0.0
2020-01-02,Brunei,AS,23,,0.0
2020-01-02,Belarus,EU,56,,0.0
2020-01-02,Switzerland,EU,626,,0.0
2020-01-02,China,AS,271,,0.0
2020-01-02,Cyprus,AS,1,,0.0
2020-01-02,Czechia,EU,177,,0.0
2020-01-02,Germany,EU,1962,,0.0
2020-01-02,Denmark,EU,348,,0.0
2020-01-02,Estonia,EU,46,,0.0
2020-01-02,Spain,EU,1152,,0.0
2020-01-02,Finland,EU,253,,0.0
2020-01-02,France,EU,1276,,0.0
2020-01-02,United Kingdom,EU,2361,,0.0
2020-01-02,Greece,EU,191,,0.0
2020-01-02,Hong Kong,AS,404,,13.89
2020-01-02,Croatia,EU,47,,0.0
2020-01-02,Hungary,EU,148,,0.0
2020-01-02,Indonesia,AS,70,,0.0
2020-01-02,Ireland,EU,345,,0.0
2020-01-02,Israel,AS,191,,0.0
2020-01-02,India,AS,1668,,0.0
2020-01-02,Iran,AS,10,,0.0
2020-01-02,Iceland,EU,67,,0.0
2020-01-02,Italy,EU,1301,,0.0
2020-01-02,Japan,AS,802,,0.0
2020-01-02,South Korea,AS,343,,0.0
2020-01-02,Kazakhstan,AS,61,,0.0
2020-01-02,Lebanon,AS,59,,0.0
2020-01-02,Sri Lanka,AS,86,,0.0
2020-01-02,Lithuania,EU,13,,0.0
2020-01-02,Luxembourg,EU,74,,0.0
2020-01-02,Latvia,EU,116,,0.0
2020-01-02,Malta,EU,59,,0.0
2020-01-02,Malaysia,AS,701,,0.0
2020-01-02,Netherlands,EU,605,,0.0
2020-01-02,Norway,EU,458,,0.0
2020-01-02,Philippines,AS,337,,0.0
2020-01-02,Pakistan,AS,9,,0.0
2020-01-02,Poland,EU,498,,0.0
2020-01-02,Portugal,EU,399,,0.0
2020-01-02,Qatar,AS,312,,0.0
2020-01-02,Romania,EU,59,,0.0
2020-01-02,Serbia,EU,63,,0.0
2020-01-02,Russia,EU,989,,0.0
2020-01-02,Saudi Arabia,AS,264,,0.0
2020-01-02,Sweden,EU,358,,0.0
2020-01-02,Singapore,AS,436,,13.89
2020-01-02,Slovenia,EU,28,,0.0
2020-01-02,Slovakia,EU,23,,0.0
2020-01-02,Thailand,AS,610,,0.0
2020-01-02,Turkey,AS,397,,0.0
2020-01-02,Taiwan,AS,462,,8.33
2020-01-02,Ukraine,EU,83,,0.0
2020-01-02,Vietnam,AS,10,,0.0
2020-01-03,United Arab Emirates,AS,672,,0.0
2020-01-03,Austria,EU,360,,0.0
2020-01-03,Bangladesh,AS,11,,0.0
2020-01-03,Belgium,EU,363,,0.0
2020-01-03,Bulgaria,EU,2,,0.0
2020-01-03,Bahrain,AS,119,,0.0
2020-01-03,Brunei,AS,27,,0.0
2020-01-03,Belarus,EU,65,,0.0
2020-01-03,Switzerland,EU,695,,0.0
2020-01-03,China,AS,397,,0.0
2020-01-03,Czechia,EU,179,,0.0
2020-01-03,Germany,EU,2074,,0.0
2020-01-03,Denmark,EU,366,,0.0
2020-01-03,Estonia,EU,37,,0.0
2020-01-03,Spain,EU,1255,,0.0
2020-01-03,Finland,EU,267,,0.0
2020-01-03,France,EU,1399,,0.0
2020-01-03,United Kingdom,EU,2518,,0.0
2020-01-03,Greece,EU,144,,0.0
2020-01-03,Hong Kong,AS,418,,13.89
2020-01-03,Croatia,EU,52,,0.0
2020-01-03,Hungary,EU,153,,0.0
2020-01-03,Indonesia,AS,86,,5.56
2020-01-03,Ireland,EU,381,,0.0
2020-01-03,Israel,AS,135,,0.0
2020-01-03,India,AS,1670,,0.0
2020-01-03,Iran,AS,22,,0.0
2020-01-03,Iceland,EU,66,,0.0
2020-01-03,Italy,EU,1366,,0.0
2020-01-03,Japan,AS,826,,0.0
2020-01-03,South Korea,AS,607,,0.0
2020-01-03,Kazakhstan,AS,55,,0.0
2020-01-03,Lebanon,AS,61,,0.0
2020-01-03,Sri Lanka,AS,68,,0.0
2020-01-03,Lithuania,EU,21,,0.0
2020-01-03,Luxembourg,EU,71,,0.0
2020-01-03,Latvia,EU,118,,0.0
2020-01-03,Malta,EU,56,,0.0
2020-01-03,Malaysia,AS,689,,0.0
2020-01-03,Netherlands,EU,629,,0.0
2020-01-03,Norway,EU,395,,0.0
2020-01-03,Philippines,AS,364,,0.0
2020-01-03,Pakistan,AS,8,,0.0
2020-01-03,Poland,EU,442,,0.0
2020-01-03,Portugal,EU,426,,0.0
2020-01-03,Qatar,AS,250,,0.0
2020-01-03,Romania,EU,69,,0.0
2020-01-03,Serbia,EU,57,,0.0
2020-01-03,Russia,EU,1102,,0.0
2020-01-03,Saudi Arabia,AS,297,,0.0
2020-01-03,Sweden,EU,378,,0.0
2020-01-03,Singapore,AS,419,,13.89
2020-01-03,Slovenia,EU,26,,0.0
2020-01-03,Slovakia,EU,25,,0.0
2020-01-03,Thailand,AS,652,,0.0
2020-01-03,Turkey,AS,455,,0.0
2020-01-03,Taiwan,AS,479,,8.33
2020-01-03,Ukraine,EU,96,,0.0
2020-01-03,Vietnam,AS,20,,0.0
2020-01-04,United Arab Emirates,AS,849,0.0,0.0
2020-01-04,Armenia,AS,32,0.0,
2020-01-04,Austria,EU,354,0.0,0.0
2020-01-04,Bangladesh,AS,7,0.0,0.0
2020-01-04,Belgium,EU,316,0.0,0.0
2020-01-04,Bulgaria,EU,4,0.0,0.0
2020-01-04,Bahrain,AS,116,0.0,0.0
2020-01-04,Brunei,AS,25,0.0,0.0
2020-01-04,Belarus,EU,62,0.0,0.0
